SITE_ID,EST_ID,ENTA_EST_ID,ENTA_SYNDROME,ENTA_AGE_GROUP,ENTA_AGE_LB_MON,ENTA_AGE_UB_MON,ENTA_AGE_LB_YR,ENTA_AGE_UB_YR,ENTA_SEX,ENTA_DX,ENTA_STRAIN,ENTA_SUBJECTS,ENTA_SAMPLES,ENTA_CASES,ENTA_PREV,ENTA_SE,ENTA_NOTES
PMID27673470-07,PMID27673470-07-03,PMID27673470-07-ENTA-03,Asymptomatic,Pre-school age children,12,23,1,1,Both,Molecular,,639,301,0,0.0,0.0,
PMID27673470-07,PMID27673470-07-04,PMID27673470-07-ENTA-04,Medically attended diarrhea - outpatient,Pre-school age children,12,23,1,1,Both,Molecular,,455,306,0,0.0,0.0,
PMID27673470-07,PMID27673470-07-05,PMID27673470-07-ENTA-05,Asymptomatic,Pre-school age children,24,59,2,4,Both,Molecular,,345,164,0,0.0,0.0,
PMID27673470-07,PMID27673470-07-06,PMID27673470-07-ENTA-06,Medically attended diarrhea - outpatient,Pre-school age children,24,59,2,4,Both,Molecular,,174,163,0,0.0,0.0,
PMID28575304-01,PMID28575304-01-01,PMID28575304-01-ENTA-01,Medically attended diarrhea - outpatient,Pre-school age children,2,11,0,0,Both,Molecular,,147,147,1,0.006802720949053764,0.006779543124139309,
PMID28575304-01,PMID28575304-01-02,PMID28575304-01-ENTA-02,Medically attended diarrhea - outpatient,Pre-school age children,12,23,1,1,Both,Molecular,,80,80,0,0.0,0.0,
PMID28575304-01,PMID28575304-01-03,PMID28575304-01-ENTA-03,Medically attended diarrhea - outpatient,Pre-school age children,26,59,2,4,Both,Molecular,,6,6,0,0.0,0.0,
PMID30287127-01,PMID30287127-01-01,PMID30287127-01-ENTA-01,Asymptomatic,Pre-school age children,0,11,0,0,Both,Molecular,,210,415,0,0.0,0.0,
PMID30287127-01,PMID30287127-01-02,PMID30287127-01-ENTA-02,Community detected diarrhea,Pre-school age children,0,11,0,0,Both,Molecular,,190,308,3,0.009740259498357773,0.00559608731418848,
PMID30287127-01,PMID30287127-01-03,PMID30287127-01-ENTA-03,Asymptomatic,Pre-school age children,12,23,1,1,Both,Molecular,,210,415,1,0.0024096386041492224,0.002406733576208353,
PMID30287127-01,PMID30287127-01-04,PMID30287127-01-ENTA-04,Community detected diarrhea,Pre-school age children,12,23,1,1,Both,Molecular,,181,297,4,0.013468013145029545,0.006688505876809359,
PMID30287127-01,PMID30287127-01-05,PMID30287127-01-ENTA-05,Asymptomatic,Pre-school age children,24,59,2,4,Both,Molecular,,136,168,1,0.0059523810632526875,0.005934639368206263,
PMID30287127-01,PMID30287127-01-06,PMID30287127-01-ENTA-06,Community detected diarrhea,Pre-school age children,24,59,2,4,Both,Molecular,,13,13,0,0.0,0.0,
PMID30287127-02,PMID30287127-02-01,PMID30287127-02-ENTA-01,Asymptomatic,Pre-school age children,0,11,0,0,Both,Molecular,,165,324,0,0.0,0.0,
PMID30287127-02,PMID30287127-02-02,PMID30287127-02-ENTA-02,Community detected diarrhea,Pre-school age children,0,11,0,0,Both,Molecular,,25,24,0,0.0,0.0,
PMID30287127-02,PMID30287127-02-03,PMID30287127-02-ENTA-03,Asymptomatic,Pre-school age children,12,23,1,1,Both,Molecular,,165,316,0,0.0,0.0,
PMID30287127-02,PMID30287127-02-04,PMID30287127-02-ENTA-04,Community detected diarrhea,Pre-school age children,12,23,1,1,Both,Molecular,,52,52,0,0.0,0.0,
PMID30287127-02,PMID30287127-02-05,PMID30287127-02-ENTA-05,Asymptomatic,Pre-school age children,24,59,2,4,Both,Molecular,,97,88,0,0.0,0.0,
PMID30287127-02,PMID30287127-02-06,PMID30287127-02-ENTA-06,Community detected diarrhea,Pre-school age children,24,59,2,4,Both,Molecular,,6,6,0,0.0,0.0,
PMID30287127-03,PMID30287127-03-01,PMID30287127-03-ENTA-01,Asymptomatic,Pre-school age children,0,11,0,0,Both,Molecular,,227,451,0,0.0,0.0,
PMID30287127-03,PMID30287127-03-02,PMID30287127-03-ENTA-02,Community detected diarrhea,Pre-school age children,0,11,0,0,Both,Molecular,,165,233,0,0.0,0.0,
PMID30287127-03,PMID30287127-03-03,PMID30287127-03-ENTA-03,Asymptomatic,Pre-school age children,12,23,1,1,Both,Molecular,,227,438,0,0.0,0.0,
PMID30287127-03,PMID30287127-03-04,PMID30287127-03-ENTA-04,Community detected diarrhea,Pre-school age children,12,23,1,1,Both,Molecular,,134,153,0,0.0,0.0,
PMID30287127-03,PMID30287127-03-05,PMID30287127-03-ENTA-05,Asymptomatic,Pre-school age children,24,59,2,4,Both,Molecular,,144,167,1,0.005988024175167084,0.005970068741589785,
PMID30287127-03,PMID30287127-03-06,PMID30287127-03-ENTA-06,Community detected diarrhea,Pre-school age children,24,59,2,4,Both,Molecular,,7,7,0,0.0,0.0,
PMID30287127-04,PMID30287127-04-01,PMID30287127-04-ENTA-01,Asymptomatic,Pre-school age children,0,11,0,0,Both,Molecular,,227,452,0,0.0,0.0,
PMID30287127-04,PMID30287127-04-02,PMID30287127-04-ENTA-02,Community detected diarrhea,Pre-school age children,0,11,0,0,Both,Molecular,,182,268,0,0.0,0.0,
PMID30287127-04,PMID30287127-04-03,PMID30287127-04-ENTA-03,Asymptomatic,Pre-school age children,12,23,1,1,Both,Molecular,,227,454,0,0.0,0.0,
PMID30287127-04,PMID30287127-04-04,PMID30287127-04-ENTA-04,Community detected diarrhea,Pre-school age children,12,23,1,1,Both,Molecular,,173,244,0,0.0,0.0,
PMID30287127-04,PMID30287127-04-05,PMID30287127-04-ENTA-05,Asymptomatic,Pre-school age children,24,59,2,4,Both,Molecular,,170,210,0,0.0,0.0,
PMID30287127-04,PMID30287127-04-06,PMID30287127-04-ENTA-06,Community detected diarrhea,Pre-school age children,24,59,2,4,Both,Molecular,,2,2,0,0.0,0.0,
PMID30287127-05,PMID30287127-05-01,PMID30287127-05-ENTA-01,Asymptomatic,Pre-school age children,0,11,0,0,Both,Molecular,,245,488,0,0.0,0.0,
PMID30287127-05,PMID30287127-05-02,PMID30287127-05-ENTA-02,Community detected diarrhea,Pre-school age children,0,11,0,0,Both,Molecular,,226,391,0,0.0,0.0,
PMID30287127-05,PMID30287127-05-03,PMID30287127-05-ENTA-03,Asymptomatic,Pre-school age children,12,23,1,1,Both,Molecular,,246,489,1,0.002044989727437496,0.002042897744104266,
PMID30287127-05,PMID30287127-05-04,PMID30287127-05-ENTA-04,Community detected diarrhea,Pre-school age children,12,23,1,1,Both,Molecular,,190,280,0,0.0,0.0,
PMID30287127-05,PMID30287127-05-05,PMID30287127-05-ENTA-05,Asymptomatic,Pre-school age children,24,59,2,4,Both,Molecular,,92,100,0,0.0,0.0,
PMID30287127-05,PMID30287127-05-06,PMID30287127-05-ENTA-06,Community detected diarrhea,Pre-school age children,24,59,2,4,Both,Molecular,,7,7,0,0.0,0.0,
PMID30287127-06,PMID30287127-06-01,PMID30287127-06-ENTA-01,Asymptomatic,Pre-school age children,0,11,0,0,Both,Molecular,,194,388,0,0.0,0.0,
PMID30287127-06,PMID30287127-06-02,PMID30287127-06-ENTA-02,Community detected diarrhea,Pre-school age children,0,11,0,0,Both,Molecular,,178,298,0,0.0,0.0,
PMID30287127-06,PMID30287127-06-03,PMID30287127-06-ENTA-03,Asymptomatic,Pre-school age children,12,23,1,1,Both,Molecular,,194,388,0,0.0,0.0,
PMID30287127-06,PMID30287127-06-04,PMID30287127-06-ENTA-04,Community detected diarrhea,Pre-school age children,12,23,1,1,Both,Molecular,,182,311,0,0.0,0.0,
PMID30287127-06,PMID30287127-06-05,PMID30287127-06-ENTA-05,Asymptomatic,Pre-school age children,24,59,2,4,Both,Molecular,,142,173,0,0.0,0.0,
PMID30287127-06,PMID30287127-06-06,PMID30287127-06-ENTA-06,Community detected diarrhea,Pre-school age children,24,59,2,4,Both,Molecular,,20,19,0,0.0,0.0,
PMID30287127-07,PMID30287127-07-01,PMID30287127-07-ENTA-01,Asymptomatic,Pre-school age children,0,11,0,0,Both,Molecular,,237,452,0,0.0,0.0,
PMID30287127-07,PMID30287127-07-02,PMID30287127-07-ENTA-02,Community detected diarrhea,Pre-school age children,0,11,0,0,Both,Molecular,,54,49,0,0.0,0.0,
PMID30287127-07,PMID30287127-07-03,PMID30287127-07-ENTA-03,Asymptomatic,Pre-school age children,12,23,1,1,Both,Molecular,,237,437,0,0.0,0.0,
PMID30287127-07,PMID30287127-07-04,PMID30287127-07-ENTA-04,Community detected diarrhea,Pre-school age children,12,23,1,1,Both,Molecular,,50,51,0,0.0,0.0,
PMID30287127-07,PMID30287127-07-05,PMID30287127-07-ENTA-05,Asymptomatic,Pre-school age children,24,59,2,4,Both,Molecular,,98,103,0,0.0,0.0,
PMID30287127-07,PMID30287127-07-06,PMID30287127-07-ENTA-06,Community detected diarrhea,Pre-school age children,24,59,2,4,Both,Molecular,,1,1,0,0.0,0.0,
PMID30287127-08,PMID30287127-08-01,PMID30287127-08-ENTA-01,Asymptomatic,Pre-school age children,0,11,0,0,Both,Molecular,,209,413,0,0.0,0.0,
PMID30287127-08,PMID30287127-08-02,PMID30287127-08-ENTA-02,Community detected diarrhea,Pre-school age children,0,11,0,0,Both,Molecular,,80,96,0,0.0,0.0,
PMID30287127-08,PMID30287127-08-03,PMID30287127-08-ENTA-03,Asymptomatic,Pre-school age children,12,23,1,1,Both,Molecular,,209,411,0,0.0,0.0,
PMID30287127-08,PMID30287127-08-04,PMID30287127-08-ENTA-04,Community detected diarrhea,Pre-school age children,12,23,1,1,Both,Molecular,,39,39,0,0.0,0.0,
PMID30287127-08,PMID30287127-08-05,PMID30287127-08-ENTA-05,Asymptomatic,Pre-school age children,24,59,2,4,Both,Molecular,,161,214,0,0.0,0.0,
PMID31004129-01,PMID31004129-01-01,PMID31004129-01-ENTA-01,Community detected diarrhea,Pre-school age children,0,11,0,1,Both,Molecular,,908,1590,0,0.0,0.0,
PMID31004129-01,PMID31004129-01-02,PMID31004129-01-ENTA-02,,Pre-school age children,3,11,0,1,Both,Molecular,,106,106,0,0.0,0.0,
PMID31004129-01,PMID31004129-01-03,PMID31004129-01-ENTA-03,Community detected diarrhea,Pre-school age children,12,18,1,2,Both,Molecular,,623,623,0,0.0,0.0,
PMID31004129-01,PMID31004129-01-04,PMID31004129-01-ENTA-04,,Pre-school age children,12,19,1,2,Both,Molecular,,53,53,0,0.0,0.0,
PMID31064387-01,PMID31064387-01-01,PMID31064387-01-ENTA-01,Asymptomatic,Pre-school age children,0,11,0,0,Both,Molecular,,4,4,0,0.0,0.0,
PMID31064387-01,PMID31064387-01-02,PMID31064387-01-ENTA-02,Asymptomatic,Pre-school age children,12,23,1,1,Both,Molecular,,27,27,0,0.0,0.0,
PMID31064387-01,PMID31064387-01-03,PMID31064387-01-ENTA-03,Asymptomatic,Pre-school age children,24,59,2,4,Both,Molecular,,189,189,0,0.0,0.0,
PMID31064387-01,PMID31064387-01-04,PMID31064387-01-ENTA-04,Asymptomatic,School age children,60,107,5,9,Both,Molecular,,233,233,1,0.004291845485568047,0.004282625392079353,
PMID31064387-01,PMID31064387-01-05,PMID31064387-01-ENTA-05,Asymptomatic,Adolescents,120,215,10,18,Both,Molecular,,140,140,0,0.0,0.0,
PMID31064387-01,PMID31064387-01-06,PMID31064387-01-ENTA-06,Asymptomatic,Adults,240,935,20,78,Both,Molecular,,297,297,0,0.0,0.0,
PMID31754717-01,PMID31754717-01-01,PMID31754717-01-ENTA-01,Asymptomatic,Pre-school age children,2,11,0,0,Both,Molecular,,26,26,0,0.0,0.0,
PMID31754717-01,PMID31754717-01-02,PMID31754717-01-ENTA-02,Asymptomatic,Pre-school age children,12,18,1,1,Both,Molecular,,7,7,0,0.0,0.0,
PMID31754717-02,PMID31754717-02-01,PMID31754717-02-ENTA-01,Asymptomatic,Pre-school age children,1,11,0,0,Both,Molecular,,61,61,0,0.0,0.0,
PMID31754717-02,PMID31754717-02-02,PMID31754717-02-ENTA-02,Asymptomatic,Pre-school age children,12,23,1,1,Both,Molecular,,39,39,0,0.0,0.0,
PMID31754717-03,PMID31754717-03-01,PMID31754717-03-ENTA-01,Asymptomatic,Pre-school age children,2,11,0,0,Both,Molecular,,67,67,0,0.0,0.0,
PMID31754717-03,PMID31754717-03-02,PMID31754717-03-ENTA-02,Asymptomatic,Pre-school age children,12,16,1,1,Both,Molecular,,6,6,0,0.0,0.0,
PMID31754717-04,PMID31754717-04-01,PMID31754717-04-ENTA-01,Asymptomatic,Pre-school age children,0,11,0,0,Both,Molecular,,91,91,0,0.0,0.0,
PMID31754717-04,PMID31754717-04-02,PMID31754717-04-ENTA-02,Asymptomatic,Pre-school age children,12,23,1,1,Both,Molecular,,97,97,0,0.0,0.0,
PMID34524885-01,PMID34524885-01-01,PMID34524885-01-ENTA-01,Medically attended diarrhea - outpatient,Pre-school age children,0,11,0,0,Both,Molecular,,32,32,1,0.03125,0.03075784258544445,
PMID34524885-01,PMID34524885-01-02,PMID34524885-01-ENTA-02,Medically attended diarrhea - outpatient,Pre-school age children,12,23,1,1,Both,Molecular,,20,20,0,0.0,0.0,
PMID34524885-01,PMID34524885-01-03,PMID34524885-01-ENTA-03,Medically attended diarrhea - outpatient,Pre-school age children,24,59,2,4,Both,Molecular,,61,61,2,0.032786883413791656,0.022800598293542862,
PMID34524885-01,PMID34524885-01-04,PMID34524885-01-ENTA-04,Medically attended diarrhea - outpatient,School age children,60,108,5,9,Both,Molecular,,42,42,1,0.02380952425301075,0.023524370044469833,
PMID34524885-01,PMID34524885-01-05,PMID34524885-01-ENTA-05,Medically attended diarrhea - outpatient,Adolescents,120,204,10,17,Both,Molecular,,44,44,5,0.11363636702299118,0.04784519225358963,
PMID34524885-02,PMID34524885-02-01,PMID34524885-02-ENTA-01,Medically attended diarrhea - outpatient,Pre-school age children,0,11,0,0,Both,Molecular,,8,8,0,0.0,0.0,
PMID34524885-02,PMID34524885-02-02,PMID34524885-02-ENTA-02,Medically attended diarrhea - outpatient,Pre-school age children,12,23,1,1,Both,Molecular,,34,34,4,0.11764705926179886,0.05525508522987366,
PMID34524885-02,PMID34524885-02-03,PMID34524885-02-ENTA-03,Medically attended diarrhea - outpatient,Pre-school age children,24,59,2,4,Both,Molecular,,51,51,3,0.05882352963089943,0.03294776752591133,
PMID34524885-02,PMID34524885-02-04,PMID34524885-02-ENTA-04,Medically attended diarrhea - outpatient,School age children,60,108,5,9,Both,Molecular,,34,34,4,0.11764705926179886,0.05525508522987366,
PMID34524885-02,PMID34524885-02-05,PMID34524885-02-ENTA-05,Medically attended diarrhea - outpatient,Adolescents,120,204,10,17,Both,Molecular,,12,12,2,0.1666666716337204,0.10758287459611893,
PMID34587158-01,PMID34587158-01-01,PMID34587158-01-ENTA-01,Asymptomatic,Pre-school age children,1,11,0,1,Both,Molecular,,83,82,2,0.024390242993831635,0.01703488454222679,
PMID34587158-01,PMID34587158-01-02,PMID34587158-01-ENTA-02,Medically attended diarrhea - outpatient,Pre-school age children,0,11,0,1,Both,Molecular,,84,84,1,0.011904762126505375,0.011833688244223595,
PMID34587158-01,PMID34587158-01-03,PMID34587158-01-ENTA-03,Asymptomatic,Pre-school age children,12,23,1,2,Both,Molecular,,56,55,0,0.0,0.0,
PMID34587158-01,PMID34587158-01-04,PMID34587158-01-ENTA-04,Medically attended diarrhea - outpatient,Pre-school age children,12,23,1,2,Both,Molecular,,90,89,0,0.0,0.0,
PMID34587158-01,PMID34587158-01-05,PMID34587158-01-ENTA-05,Asymptomatic,Pre-school age children,24,59,2,5,Both,Molecular,,61,61,0,0.0,0.0,
PMID34587158-01,PMID34587158-01-06,PMID34587158-01-ENTA-06,Medically attended diarrhea - outpatient,Pre-school age children,24,54,2,5,Both,Molecular,,55,55,0,0.0,0.0,
